index  h (pc)  norm   Sigma (Msun/pc^2)
0      10      0.09   10
1      20      0.09   10
2      30      0.09   10
3      40      0.09   10
4      50      0.09   10
5      60      0.09   10
6      70      0.09   10
7      80      0.09   10
8      90      0.09   10
9      100     0.09   10
10     10      0.18   20
11     20      0.18   20
12     30      0.18   20
13     40      0.18   20
14     50      0.18   20
15     60      0.18   20
16     70      0.18   20
17     80      0.18   20
18     90      0.18   20
19     100     0.18   20
